"nim","nama","prodi","kabupaten","provinsi","penghasilan_ayah","Prestasi yang pernah saudara/i raih ?","Apa yang membuat saudara/ i tertarik kuliah di Universitas Nurul Jadid ?","Siapa yang memotivasi saudara/ i hingga akhirnya memilih kuliah di Universitas Nurul Jadid ?","prestasi_terkini"
"2123770138","mahasiswa 138","ES","KAB. BONDOWOSO","Jawa Timur","Rp. 1.000.000 s/d Rp. 1.999.999","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Guru di sekolah","0"
"2123870139","mahasiswa 139","ES","KAB. JEMBER","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Orang tua/ kerabat","0"
"2123970140","mahasiswa 140","ES","KAB. SUMENEP","Jawa Timur","Rp. 1.000.000 s/d Rp. 1.999.999","Juara di sekolah","Kampus berbasis pesantren","Orang tua/ kerabat","1"
"2124070141","mahasiswa 141","ES","KAB. SITUBONDO","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Kesadaran diri sendiri","0"
"2124170142","mahasiswa 142","ES","KAB. BANJAR","Kalimantan Selatan","Rp. 1.000.000 s/d Rp. 1.999.999","Juara di sekolah","Ada saudara/ teman yang kuliah di UNUJA","Kesadaran diri sendiri","1"
"2124270143","mahasiswa 143","ES","KAB. BANJAR","Kalimantan Selatan","Rp. 2.000.000 s/d Rp. 4.999.999","Tidak pernah meraih prestasi","Ada saudara/ teman yang kuliah di UNUJA","Kesadaran diri sendiri","0"
"2124370144","mahasiswa 144","ES","KAB. PROBOLINGGO","Jawa Timur","","Juara di luar sekolah","Dekat dari rumah","Orang tua/ kerabat","1"
"2124470145","mahasiswa 145","ES","KAB. PROBOLINGGO","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Juara di sekolah","Dekat dari rumah","Orang tua/ kerabat","1"
"2124570146","mahasiswa 146","ES","KAB. SITUBONDO","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Juara di luar sekolah","Ada saudara/ teman yang kuliah di UNUJA","Orang tua/ kerabat","1"
"2124670147","mahasiswa 147","ES","KAB. MALANG","Jawa Timur","Rp. 2.000.000 s/d Rp. 4.999.999","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Orang tua/ kerabat","0"
"2124770148","mahasiswa 148","ES","KAB. PROBOLINGGO","Jawa Timur","Rp. 2.000.000 s/d Rp. 4.999.999","Lainnya","Kampus berbasis pesantren","Kesadaran diri sendiri","0"
"2124870149","mahasiswa 149","ES","KAB. PROBOLINGGO","Jawa Timur","Rp. 1.000.000 s/d Rp. 1.999.999","Juara di sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2124970150","mahasiswa 150","ES","KAB. BONDOWOSO","Jawa Timur","Kurang dari Rp. 500.000","Juara di sekolah","Kampus berbasis pesantren","Teman sekolah","1"
"2125070151","mahasiswa 151","ES","KAB. BONDOWOSO","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Juara di sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2125170152","mahasiswa 152","ES","KAB. PROBOLINGGO","Jawa Timur","Kurang dari Rp. 500.000","Lainnya","Kampus berbasis pesantren","Kesadaran diri sendiri","0"
"2125270153","mahasiswa 153","ES","KAB. SITUBONDO","Jawa Timur","Kurang dari Rp. 500.000","Lainnya","Kampus berbasis pesantren","Orang tua/ kerabat","0"
"2125370154","mahasiswa 154","ES","KAB. SUMENEP","Jawa Timur","Rp. 2.000.000 s/d Rp. 4.999.999","Juara di luar sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2125470155","mahasiswa 155","ES","KAB. LUMAJANG","Jawa Timur","Rp. 2.000.000 s/d Rp. 4.999.999","Lainnya","Kampus berbasis pesantren","Kesadaran diri sendiri","0"
"2125570156","mahasiswa 156","ES","KAB. PROBOLINGGO","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Juara di luar sekolah","Fasilitas bagus","Kesadaran diri sendiri","1"
"2125670157","mahasiswa 157","ES","KAB. SITUBONDO","Jawa Timur","Kurang dari Rp. 500.000","Juara di sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2125770158","mahasiswa 158","ES","KAB. BONDOWOSO","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Juara di sekolah","Kampus berbasis pesantren","Guru di sekolah","1"
"2125870159","mahasiswa 159","PS","KAB. PROBOLINGGO","Jawa Timur","Kurang dari Rp. 500.000","Juara di sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2125970160","mahasiswa 160","PS","KAB. PROBOLINGGO","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Kesadaran diri sendiri","0"
"2126070161","mahasiswa 161","PS","KAB. PROBOLINGGO","Jawa Timur","Rp. 1.000.000 s/d Rp. 1.999.999","Lainnya","Fasilitas bagus","Orang tua/ kerabat","0"
"2126170162","mahasiswa 162","PS","KAB. BONDOWOSO","Jawa Timur","Kurang dari Rp. 500.000","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Orang tua/ kerabat","0"
"2126270163","mahasiswa 163","PS","KAB. PROBOLINGGO","Jawa Timur","Rp. 1.000.000 s/d Rp. 1.999.999","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Kesadaran diri sendiri","0"
"2126370164","mahasiswa 164","PS","KAB. PROBOLINGGO","Jawa Timur","Rp. 2.000.000 s/d Rp. 4.999.999","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Kesadaran diri sendiri","0"
"2126470165","mahasiswa 165","PS","KAB. PROBOLINGGO","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Juara di sekolah","Biaya terjangkau","Orang tua/ kerabat","1"
"2126570166","mahasiswa 166","PS","KAB. SITUBONDO","Jawa Timur","Rp. 1.000.000 s/d Rp. 1.999.999","Tidak pernah meraih prestasi","Biaya terjangkau","Orang tua/ kerabat","0"
"2126670167","mahasiswa 167","PS","KAB. PROBOLINGGO","Jawa Timur","Rp. 2.000.000 s/d Rp. 4.999.999","Juara di sekolah","Kampus berbasis pesantren","Orang tua/ kerabat","1"
"2126770168","mahasiswa 168","PS","KAB. PROBOLINGGO","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Lainnya","Kampus berbasis pesantren","Orang tua/ kerabat","0"
"2126870169","mahasiswa 169","PS","KAB. SITUBONDO","Jawa Timur","Rp. 2.000.000 s/d Rp. 4.999.999","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Orang tua/ kerabat","0"
"2126970170","mahasiswa 170","PS","KAB. SITUBONDO","Jawa Timur","Kurang dari Rp. 500.000","Tidak pernah meraih prestasi","Biaya terjangkau","Orang tua/ kerabat","0"
"2127070171","mahasiswa 171","PS","KAB. PROBOLINGGO","Jawa Timur","Kurang dari Rp. 500.000","Lainnya","Kampus berbasis pesantren","Kesadaran diri sendiri","0"
"2127170172","mahasiswa 172","PS","KAB. SUMENEP","Jawa Timur","Rp. 1.000.000 s/d Rp. 1.999.999","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Orang tua/ kerabat","0"
"2127270173","mahasiswa 173","PS","KAB. PROBOLINGGO","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Kesadaran diri sendiri","0"
"2127370174","mahasiswa 174","PS","KAB. SITUBONDO","Jawa Timur","Rp. 1.000.000 s/d Rp. 1.999.999","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Orang tua/ kerabat","0"
"2127470175","mahasiswa 175","PS","KAB. SITUBONDO","Jawa Timur","Rp. 1.000.000 s/d Rp. 1.999.999","Tidak pernah meraih prestasi","Ada saudara/ teman yang kuliah di UNUJA","Kesadaran diri sendiri","0"
"2127570176","mahasiswa 176","PS","KAB. PROBOLINGGO","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Juara di sekolah","Biaya terjangkau","Orang tua/ kerabat","1"
"2127670177","mahasiswa 177","PS","KAB. SITUBONDO","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Orang tua/ kerabat","0"
"2127770178","mahasiswa 178","PS","KAB. PROBOLINGGO","Jawa Timur","Kurang dari Rp. 500.000","Tidak pernah meraih prestasi","Dekat dari rumah","Kesadaran diri sendiri","0"
"2127870179","mahasiswa 179","PS","KAB. SUMENEP","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Guru di sekolah","0"
"2127970180","mahasiswa 180","PAI","KAB. PROBOLINGGO","Jawa Timur","Kurang dari Rp. 500.000","Juara di sekolah","Dekat dari rumah","Kesadaran diri sendiri","1"
"2128070181","mahasiswa 181","PAI","KAB. PROBOLINGGO","Jawa Timur","Rp. 1.000.000 s/d Rp. 1.999.999","Juara di sekolah","Kampus berbasis pesantren","Orang tua/ kerabat","1"
"2128170182","mahasiswa 182","PAI","KAB. SITUBONDO","Jawa Timur","Rp. 2.000.000 s/d Rp. 4.999.999","Juara di sekolah","Ada saudara/ teman yang kuliah di UNUJA","Teman sekolah","1"
"2128270183","mahasiswa 183","PAI","KAB. SITUBONDO","Jawa Timur","Rp. 1.000.000 s/d Rp. 1.999.999","Lainnya","Kampus berbasis pesantren","Kesadaran diri sendiri","0"
"2128370184","mahasiswa 184","PAI","KOTA PROBOLINGGO","Jawa Timur","Rp. 1.000.000 s/d Rp. 1.999.999","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Orang tua/ kerabat","0"
"2128470185","mahasiswa 185","PAI","KOTA SURABAYA","Jawa Timur","Rp. 2.000.000 s/d Rp. 4.999.999","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Orang tua/ kerabat","0"
"2128570186","mahasiswa 186","PAI","KAB. PROBOLINGGO","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Juara di luar sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2128670187","mahasiswa 187","PAI","KAB. PROBOLINGGO","Jawa Timur","Kurang dari Rp. 500.000","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Kesadaran diri sendiri","0"
"2128770188","mahasiswa 188","PAI","KAB. PROBOLINGGO","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Orang tua/ kerabat","0"
"2128870189","mahasiswa 189","PAI","KAB. BONDOWOSO","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Juara di luar sekolah","Kampus berbasis pesantren","Orang tua/ kerabat","1"
"2128970190","mahasiswa 190","PAI","KAB. BONDOWOSO","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Juara di luar sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2129070191","mahasiswa 191","PAI","KAB. SAMPANG","Jawa Timur","Rp. 1.000.000 s/d Rp. 1.999.999","Juara di sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2129170192","mahasiswa 192","PAI","KAB. PROBOLINGGO","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Juara di sekolah","Ada saudara/ teman yang kuliah di UNUJA","Kesadaran diri sendiri","1"
"2129270193","mahasiswa 193","PAI","KAB. SITUBONDO","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Juara di sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2129370194","mahasiswa 194","PAI","KAB. SITUBONDO","Jawa Timur","Rp. 1.000.000 s/d Rp. 1.999.999","Juara di sekolah","Kampus berbasis pesantren","Teman sekolah","1"
"2129470195","mahasiswa 195","PAI","KAB. SUMENEP","Jawa Timur","Kurang dari Rp. 500.000","Juara di luar sekolah","Kampus berbasis pesantren","Orang tua/ kerabat","1"
"2129570196","mahasiswa 196","PAI","KAB. SITUBONDO","Jawa Timur","Kurang dari Rp. 500.000","Juara di sekolah","Kampus berbasis pesantren","Orang tua/ kerabat","1"
"2129670197","mahasiswa 197","PAI","KAB. JEMBRANA","Bali","Rp. 2.000.000 s/d Rp. 4.999.999","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Orang tua/ kerabat","0"
"2129770198","mahasiswa 198","PAI","KAB. PROBOLINGGO","Jawa Timur","Rp. 2.000.000 s/d Rp. 4.999.999","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Orang tua/ kerabat","0"
"2129870199","mahasiswa 199","PAI","KAB. PROBOLINGGO","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Juara di sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2129970200","mahasiswa 200","PAI","KAB. LUMAJANG","Jawa Timur","Kurang dari Rp. 500.000","Lainnya","Lainnya","Kesadaran diri sendiri","0"
"2130070201","mahasiswa 201","PAI","KAB. SUMENEP","Jawa Timur","Rp. 1.000.000 s/d Rp. 1.999.999","Juara di luar sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2130170202","mahasiswa 202","PAI","KAB. PROBOLINGGO","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Juara di luar sekolah","Ada saudara/ teman yang kuliah di UNUJA","Orang tua/ kerabat","1"
"2130270203","mahasiswa 203","PAI","KAB. SITUBONDO","Jawa Timur","Kurang dari Rp. 500.000","Juara di sekolah","Kampus berbasis pesantren","Guru di sekolah","1"
"2130370204","mahasiswa 204","PAI","KAB. SUMENEP","Jawa Timur","Kurang dari Rp. 500.000","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Orang tua/ kerabat","0"
"2130470205","mahasiswa 205","PAI","KAB. SITUBONDO","Jawa Timur","Rp. 2.000.000 s/d Rp. 4.999.999","Juara di sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2130570206","mahasiswa 206","PAI","KAB. PROBOLINGGO","Jawa Timur","Kurang dari Rp. 500.000","Juara di luar sekolah","Kampus berbasis pesantren","Orang tua/ kerabat","1"
"2130670207","mahasiswa 207","PAI","KOTA PROBOLINGGO","Jawa Timur","Rp. 2.000.000 s/d Rp. 4.999.999","Lainnya","Kampus berbasis pesantren","Kesadaran diri sendiri","0"
"2130770208","mahasiswa 208","PAI","KAB. PROBOLINGGO","Jawa Timur","Kurang dari Rp. 500.000","Juara di sekolah","Dekat dari rumah","Kesadaran diri sendiri","1"
"2130870209","mahasiswa 209","PAI","KAB. PROBOLINGGO","Jawa Timur","Kurang dari Rp. 500.000","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Kesadaran diri sendiri","0"
"2130970210","mahasiswa 210","PAI","KAB. SITUBONDO","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Juara di sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2131070211","mahasiswa 211","PAI","KAB. PROBOLINGGO","Jawa Timur","Kurang dari Rp. 500.000","Juara di sekolah","Kampus berbasis pesantren","Orang tua/ kerabat","1"
"2131170212","mahasiswa 212","PAI","KAB. SUMENEP","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Juara di luar sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2131270213","mahasiswa 213","PAI","KAB. PROBOLINGGO","Jawa Timur","Kurang dari Rp. 500.000","Juara di sekolah","Fasilitas bagus","Orang tua/ kerabat","1"
"2131370214","mahasiswa 214","PAI","KAB. PROBOLINGGO","Jawa Timur","Kurang dari Rp. 500.000","Tidak pernah meraih prestasi","Dipaksa orang tua","Orang tua/ kerabat","0"
"2131470215","mahasiswa 215","PAI","KAB. PROBOLINGGO","Jawa Timur","Rp. 1.000.000 s/d Rp. 1.999.999","Juara di sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2131570216","mahasiswa 216","PAI","KAB. PROBOLINGGO","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Orang tua/ kerabat","0"
"2131670217","mahasiswa 217","PAI","KAB. BANYUWANGI","Jawa Timur","Rp. 1.000.000 s/d Rp. 1.999.999","Juara di sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2131770218","mahasiswa 218","PAI","KAB. PROBOLINGGO","Jawa Timur","Kurang dari Rp. 500.000","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Kesadaran diri sendiri","0"
"2131870219","mahasiswa 219","PAI","KAB. PROBOLINGGO","Jawa Timur","Rp. 2.000.000 s/d Rp. 4.999.999","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Orang tua/ kerabat","0"
"2131970220","mahasiswa 220","PAI","KAB. SIDOARJO","Jawa Timur","Rp. 1.000.000 s/d Rp. 1.999.999","Juara di luar sekolah","Kampus berbasis pesantren","Lainnya","1"
"2132070221","mahasiswa 221","PAI","KAB. SITUBONDO","Jawa Timur","Kurang dari Rp. 500.000","Tidak pernah meraih prestasi","Ada saudara/ teman yang kuliah di UNUJA","Kesadaran diri sendiri","0"
"2132170222","mahasiswa 222","PAI","KAB. PROBOLINGGO","Jawa Timur","Rp. 1.000.000 s/d Rp. 1.999.999","Juara di sekolah","Kampus berbasis pesantren","Orang tua/ kerabat","1"
"2132270223","mahasiswa 223","PAI","KAB. PROBOLINGGO","Jawa Timur","Rp. 1.000.000 s/d Rp. 1.999.999","Juara di luar sekolah","Biaya terjangkau","Kesadaran diri sendiri","1"
"2132370224","mahasiswa 224","PAI","KAB. PROBOLINGGO","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Kesadaran diri sendiri","0"
"2132470225","mahasiswa 225","PAI","KAB. BONDOWOSO","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Juara di sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2132570226","mahasiswa 226","PAI","KAB. PROBOLINGGO","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Juara di luar sekolah","Dekat dari rumah","Orang tua/ kerabat","1"
"2132670227","mahasiswa 227","PAI","KAB. PROBOLINGGO","Jawa Timur","Kurang dari Rp. 500.000","Lainnya","Biaya terjangkau","Orang tua/ kerabat","0"
"2132770228","mahasiswa 228","PAI","KAB. PROBOLINGGO","Jawa Timur","Rp. 1.000.000 s/d Rp. 1.999.999","Lainnya","Kampus berbasis pesantren","Kesadaran diri sendiri","0"
"2132870229","mahasiswa 229","PAI","KAB. SITUBONDO","Jawa Timur","Rp. 2.000.000 s/d Rp. 4.999.999","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Kesadaran diri sendiri","0"
"2132970230","mahasiswa 230","PAI","KAB. PROBOLINGGO","Jawa Timur","Rp. 2.000.000 s/d Rp. 4.999.999","Juara di luar sekolah","Lainnya","Kesadaran diri sendiri","1"
"2133070231","mahasiswa 231","PAI","KAB. BULUKUMBA","Sulawesi Selatan","Rp. 500.001 s/d Rp. 999.999","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Kesadaran diri sendiri","0"
"2133170232","mahasiswa 232","PAI","KAB. PROBOLINGGO","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Juara di sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2133270233","mahasiswa 233","PAI","KAB. PROBOLINGGO","Jawa Timur","Kurang dari Rp. 500.000","Juara di sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2133370234","mahasiswa 234","PAI","KAB. PROBOLINGGO","Jawa Timur","Kurang dari Rp. 500.000","Juara di luar sekolah","Dekat dari rumah","Kesadaran diri sendiri","1"
"2133470235","mahasiswa 235","PAI","KAB. PROBOLINGGO","Jawa Timur","Kurang dari Rp. 500.000","Tidak pernah meraih prestasi","Biaya terjangkau","Orang tua/ kerabat","0"
"2133570236","mahasiswa 236","PAI","KAB. PROBOLINGGO","Jawa Timur","Kurang dari Rp. 500.000","Juara di sekolah","Kampus berbasis pesantren","Orang tua/ kerabat","1"
"2133670237","mahasiswa 237","PAI","KAB. PROBOLINGGO","Jawa Timur","Kurang dari Rp. 500.000","Juara di sekolah","Kampus berbasis pesantren","Orang tua/ kerabat","1"
"2133770238","mahasiswa 238","PAI","KAB. PROBOLINGGO","Jawa Timur","Rp. 1.000.000 s/d Rp. 1.999.999","Juara di sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2133870239","mahasiswa 239","PAI","KAB. SITUBONDO","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Orang tua/ kerabat","0"
"2133970240","mahasiswa 240","PAI","KAB. PROBOLINGGO","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Juara di sekolah","Dekat dari rumah","Orang tua/ kerabat","1"
"2134070241","mahasiswa 241","PAI","KAB. PROBOLINGGO","Jawa Timur","Kurang dari Rp. 500.000","Juara di luar sekolah","Dekat dari rumah","Teman sekolah","1"
"2134170242","mahasiswa 242","PAI","KAB. BANJAR","Kalimantan Selatan","Rp. 500.001 s/d Rp. 999.999","Juara di sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2134270243","mahasiswa 243","PAI","KAB. BANJAR","Kalimantan Selatan","Rp. 500.001 s/d Rp. 999.999","Lainnya","Ada saudara/ teman yang kuliah di UNUJA","Kesadaran diri sendiri","0"
"2134370244","mahasiswa 244","PAI","KAB. BREBES","Jawa Tengah","Rp. 500.001 s/d Rp. 999.999","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Guru di sekolah","0"
"2134470245","mahasiswa 245","PAI","KAB. BREBES","Jawa Tengah","Rp. 500.001 s/d Rp. 999.999","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Guru di sekolah","0"
"2134570246","mahasiswa 246","PAI","KAB. PROBOLINGGO","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Orang tua/ kerabat","0"
"2134670247","mahasiswa 247","PAI","KAB. BREBES","Jawa Tengah","Kurang dari Rp. 500.000","Juara di luar sekolah","Kampus berbasis pesantren","Teman sekolah","1"
"2134770248","mahasiswa 248","PAI","KAB. PROBOLINGGO","Jawa Timur","Rp. 2.000.000 s/d Rp. 4.999.999","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Teman sekolah","0"
"2134870249","mahasiswa 249","PAI","KAB. SITUBONDO","Jawa Timur","Rp. 2.000.000 s/d Rp. 4.999.999","Juara di sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2134970250","mahasiswa 250","PAI","KOTA PROBOLINGGO","Jawa Timur","Rp. 5.000.000 s/d Rp. 20.000.000","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Kesadaran diri sendiri","0"
"2135070251","mahasiswa 251","PAI","KAB. JEMBER","Jawa Timur","Kurang dari Rp. 500.000","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Orang tua/ kerabat","0"
"2135170252","mahasiswa 252","PAI","KAB. JEMBER","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Juara di sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2135270253","mahasiswa 253","PAI","KAB. PROBOLINGGO","Jawa Timur","","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Orang tua/ kerabat","0"
"2135370254","mahasiswa 254","PAI","KAB. PROBOLINGGO","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Juara di sekolah","Kampus berbasis pesantren","Orang tua/ kerabat","1"
"2135470255","mahasiswa 255","PAI","KAB. PASURUAN","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Juara di sekolah","Kampus berbasis pesantren","Orang tua/ kerabat","1"
"2135570256","mahasiswa 256","PAI","KAB. GRESIK","Jawa Timur","Rp. 1.000.000 s/d Rp. 1.999.999","Juara di luar sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2135670257","mahasiswa 257","PAI","KAB. PROBOLINGGO","Jawa Timur","Rp. 1.000.000 s/d Rp. 1.999.999","Juara di luar sekolah","Fasilitas bagus","Orang tua/ kerabat","1"
"2135770258","mahasiswa 258","PAI","KAB. BANYUWANGI","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Lainnya","Kampus berbasis pesantren","Kesadaran diri sendiri","0"
"2135870259","mahasiswa 259","PAI","KAB. SITUBONDO","Jawa Timur","Rp. 2.000.000 s/d Rp. 4.999.999","Tidak pernah meraih prestasi","Tidak diterima di kampus lain","Orang tua/ kerabat","0"
"2135970260","mahasiswa 260","PAI","KAB. LUMAJANG","Jawa Timur","Rp. 1.000.000 s/d Rp. 1.999.999","Juara di sekolah","Kampus berbasis pesantren","Orang tua/ kerabat","1"
"2136070261","mahasiswa 261","PAI","KAB. PROBOLINGGO","Jawa Timur","Kurang dari Rp. 500.000","Juara di sekolah","Kampus berbasis pesantren","Guru di sekolah","1"
"2136170262","mahasiswa 262","PAI","KAB. BANGKALAN","Jawa Timur","Kurang dari Rp. 500.000","Juara di sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2136270263","mahasiswa 263","PAI","KAB. TABANAN","Bali","Kurang dari Rp. 500.000","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Orang tua/ kerabat","0"
"2136370264","mahasiswa 264","PAI","KAB. JEMBER","Jawa Timur","Rp. 1.000.000 s/d Rp. 1.999.999","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Kesadaran diri sendiri","0"
"2136470265","mahasiswa 265","PAI","KAB. PROBOLINGGO","Jawa Timur","Kurang dari Rp. 500.000","Juara di sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2136570266","mahasiswa 266","PAI","KAB. PROBOLINGGO","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Juara di sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2136670267","mahasiswa 267","PAI","KAB. JEMBER","Jawa Timur","Kurang dari Rp. 500.000","Tidak pernah meraih prestasi","Ada saudara/ teman yang kuliah di UNUJA","Orang tua/ kerabat","0"
"2136770268","mahasiswa 268","PAI","KAB. SITUBONDO","Jawa Timur","Rp. 2.000.000 s/d Rp. 4.999.999","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Orang tua/ kerabat","0"
"2136870269","mahasiswa 269","PAI","KAB. BULELENG","Bali","Rp. 2.000.000 s/d Rp. 4.999.999","Lainnya","Kampus berbasis pesantren","Kesadaran diri sendiri","0"
"2136970270","mahasiswa 270","PAI","KAB. SITUBONDO","Jawa Timur","Rp. 1.000.000 s/d Rp. 1.999.999","Juara di luar sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2137070271","mahasiswa 271","PAI","KAB. PROBOLINGGO","Jawa Timur","Rp. 2.000.000 s/d Rp. 4.999.999","Lainnya","Kampus berbasis pesantren","Kesadaran diri sendiri","0"
"2137170272","mahasiswa 272","PAI","KAB. JEMBER","Jawa Timur","Rp. 2.000.000 s/d Rp. 4.999.999","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Kesadaran diri sendiri","0"
"2137270273","mahasiswa 273","PAI","KAB. BONDOWOSO","Jawa Timur","","Juara di luar sekolah","Biaya terjangkau","Guru di sekolah","1"
"2137370274","mahasiswa 274","PAI","KAB. BONDOWOSO","Jawa Timur","Kurang dari Rp. 500.000","Juara di sekolah","Kampus berbasis pesantren","Orang tua/ kerabat","1"
"2137470275","mahasiswa 275","PAI","KAB. PROBOLINGGO","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Lainnya","Kampus berbasis pesantren","Orang tua/ kerabat","0"
"2137570276","mahasiswa 276","PAI","KAB. BONDOWOSO","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Lainnya","Kampus berbasis pesantren","Orang tua/ kerabat","0"
